"","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","group.id","Actor.id","A_L_1","A_L_2","A_L_3","A_L_4","B_L_1","B_L_2","B_L_3","B_L_4","C_L_1","C_L_2","C_L_3","C_L_4","D_L_1","D_L_2","D_L_3","D_L_4","A_I_1","A_I_2","A_I_3","B_I_1","B_I_2","B_I_3","C_I_1","C_I_2","C_I_3","D_I_1","D_I_2","D_I_3","A_S_1","A_S_2","A_S_3","B_S_1","B_S_2","B_S_3","C_S_1","C_S_2","C_S_3","D_S_1","D_S_2","D_S_3","A_H_1","A_H_2","A_H_3","B_H_1","B_H_2","B_H_3","C_H_1","C_H_2","C_H_3","D_H_1","D_H_2","D_H_3","Gender"
"61","","","32.080596923828","34.814193725586","anonymous","HE","604","1","","","","","9","7","9","9","4","4","4","4","8","7","8","8","","","","5","5","9","2","1","2","10","10","10","","","","11","9","10","6","3","4","11","11","11","","","","11","11","9","9","7","3","11","8","10","1"
"62","","","32.080596923828","34.814193725586","anonymous","HE","604","2","5","5","6","4","","","","","6","7","4","4","10","10","10","11","4","9","10","","","","2","2","2","11","11","11","8","10","9","","","","8","10","9","11","11","11","10","9","8","","","","9","9","4","11","11","11","1"
"63","","","31.779998779297","35.229995727539","anonymous","HE","310","2","4","4","4","5","","","","","6","6","6","5","5","4","4","5","7","7","7","","","","7","7","10","6","5","9","8","6","8","","","","8","8","8","8","8","8","9","11","9","","","","10","11","10","9","11","9","1"
"64","","","32.080596923828","34.814193725586","anonymous","HE","604","4","11","11","11","11","11","11","11","11","11","10","11","11","","","","","9","9","9","11","11","11","8","8","8","","","","11","11","11","11","11","11","11","11","11","","","","11","11","11","11","11","11","11","11","11","","","","1"
"65","","","31.5","34.75","anonymous","HE","870","2","8","9","10","11","","","","","10","9","10","10","7","5","8","8","9","9","7","","","","10","9","11","7","6","6","9","10","9","","","","11","10","8","8","8","9","11","9","11","","","","11","11","11","11","11","10","1"
"66","","","31.964202880859","34.804397583008","anonymous","HE","870","3","3","2","2","2","6","7","5","10","","","","","7","9","7","6","4","4","4","8","6","9","","","","8","6","7","4","7","5","10","10","11","","","","7","8","7","5","5","5","11","11","11","","","","9","9","7","1"
"67","","","31.5","34.75","qr","HE","870","1","","","","","11","9","8","8","10","8","7","10","6","8","9","5","","","","8","8","9","8","9","11","9","8","11","","","","9","11","10","9","11","9","8","9","8","","","","10","11","11","9","9","9","8","8","7","2"
"68","","","31.779998779297","35.229995727539","anonymous","HE","731","1","","","","","6","5","5","6","9","8","9","6","4","6","5","5","","","","7","5","7","8","8","10","9","9","11","","","","10","10","8","10","10","9","9","9","6","","","","7","9","8","9","9","9","11","11","10","2"
"69","","","31.5","34.75","qr","HE","801","4","4","3","4","4","5","5","6","4","5","5","4","5","","","","","5","6","7","5","7","8","6","7","7","","","","6","5","6","6","5","6","6","8","7","","","","7","7","7","6","6","7","7","8","7","","","","2"
"70","","","32.066696166992","34.766693115234","anonymous","HE","731","3","9","9","9","10","2","1","1","2","","","","","4","3","3","3","8","9","7","1","1","1","","","","2","1","6","8","10","6","4","2","2","","","","6","2","1","10","11","11","2","1","1","","","","7","8","6","2"
"71","","","32.066696166992","34.766693115234","anonymous","HE","731","4","6","6","6","6","5","5","7","5","3","4","4","6","","","","","7","6","8","4","5","2","3","3","4","","","","10","9","9","9","8","9","11","9","9","","","","7","7","7","5","5","5","6","6","6","","","","2"
"72","","","32.066696166992","34.766693115234","anonymous","HE","731","2","6","4","6","4","","","","","3","3","3","3","5","4","5","4","1","8","8","","","","1","5","7","1","5","6","11","9","9","","","","11","8","8","10","8","6","9","9","9","","","","9","9","9","7","7","7","2"
"73","","","32.066696166992","34.766693115234","anonymous","HE","280","3","5","2","4","3","5","4","7","7","","","","","7","7","5","8","1","2","6","4","1","2","","","","3","1","7","8","8","1","4","3","2","","","","8","9","4","10","11","7","5","8","2","","","","11","9","6","2"
"74","","","31.5","34.75","anonymous","HE","280","2","5","5","5","5","","","","","6","6","6","6","5","5","5","5","1","1","11","","","","1","3","11","1","3","6","9","11","8","","","","11","11","8","6","9","8","11","11","11","","","","11","11","11","9","9","8","2"
"75","","","32.147201538086","34.841705322266","anonymous","HE","280","4","3","3","3","4","5","3","4","4","6","5","5","5","","","","","5","5","6","4","4","4","7","7","8","","","","6","8","7","3","5","4","9","8","9","","","","7","8","6","6","7","8","8","8","8","","","","2"
"76","","","31.5","34.75","qr","HE","280","1","","","","","4","3","4","4","7","6","9","9","6","6","6","4","","","","1","4","4","2","5","7","1","6","6","","","","5","4","5","11","11","9","11","11","6","","","","7","11","6","10","10","6","9","11","6","2"
"77","","","31.779998779297","35.229995727539","anonymous","HE","285","1","","","","","10","10","6","11","7","4","9","9","6","5","4","4","","","","10","11","11","6","11","11","7","8","11","","","","5","4","5","11","8","11","8","7","9","","","","11","11","11","11","11","11","11","11","11","1"
"78","","","31.779998779297","35.229995727539","qr","HE","285","3","4","4","4","6","4","4","4","6","","","","","10","8","10","10","4","3","9","4","4","9","","","","9","9","9","9","5","5","7","7","7","","","","8","9","9","9","9","9","9","9","9","","","","9","9","9","2"
"79","","","31.5","34.75","anonymous","HE","285","4","3","3","3","4","4","4","4","4","4","4","4","4","","","","","7","8","5","9","9","11","8","5","7","","","","6","4","3","9","8","9","10","9","9","","","","6","9","5","9","9","9","9","9","9","","","","2"
"80","","","32.001403808594","34.830307006836","qr","HE","285","2","7","8","9","9","","","","","6","5","7","6","6","4","7","8","9","11","10","","","","7","6","7","9","8","9","11","9","10","","","","11","11","11","9","8","8","11","10","9","","","","9","9","9","9","10","8","2"
"81","","","31.5","34.75","anonymous","HE","315","4","11","11","11","11","11","11","11","11","9","9","9","9","","","","","11","11","11","11","11","11","8","8","8","","","","11","11","11","11","11","11","11","11","11","","","","11","11","11","11","11","11","10","10","10","","","","1"
"82","","","31.5","34.75","anonymous","HE","315","3","3","2","1","2","11","11","11","11","","","","","10","10","10","10","1","1","1","11","11","11","","","","11","11","11","1","1","4","11","11","11","","","","11","11","9","1","4","2","11","11","11","","","","11","11","11","1"
"83","","","31.5","34.75","anonymous","HE","315","1","","","","","9","9","8","8","3","3","2","4","9","9","9","9","","","","9","9","9","3","2","3","8","8","8","","","","9","9","9","8","6","6","9","9","9","","","","9","9","9","3","3","4","9","9","9","1"
"84","","","31.5","34.75","anonymous","HE","315","2","8","8","6","7","","","","","7","5","6","6","10","10","10","10","9","7","11","","","","6","8","6","11","11","11","11","11","11","","","","11","11","11","11","11","11","11","11","11","","","","9","9","9","11","11","11","1"
"85","","","","","anonymous","HE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"86","","","32.792205810547","35.531204223633","anonymous","HE","801","2","6","6","6","8","","","","","9","8","8","10","4","5","6","8","8","8","9","","","","8","9","9","6","8","8","9","7","7","","","","6","6","8","9","9","7","9","9","8","","","","9","9","8","9","9","8","2"
"87","","","","","anonymous","HE","870","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"88","","","","","anonymous","HE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
